2025-06-10 00:48:40.857 | DEBUG    | concierge.core.services.terminal.pty_manager | read_from_pty        | L266  | Reader task created: <Task pending name='Task-39' coro=<PTYManager.read_from_pty.<locals>.reader() running at /data/openpilot/openpilot/selfdrive/chauffeur/concierge/core/services/terminal/pty_manager.py:213>>
2025-06-10 00:48:40.857 | DEBUG    | concierge.core.services.terminal.pty_manager | reader               | L214  | Reader task started for session terminal-main-session
2025-06-10 00:48:40.858 | INFO     | concierge.core.services.terminal.pty_manager | reader               | L237  | Read 2 bytes from PTY (read #1)
2025-06-10 00:48:42.542 | INFO     | concierge.core.services.terminal.pty_manager | reader               | L237  | Read 1 bytes from PTY (read #2)
2025-06-10 00:48:43.367 | INFO     | concierge.core.services.terminal.pty_manager | reader               | L237  | Read 1 bytes from PTY (read #3)
2025-06-10 00:48:43.578 | INFO     | concierge.core.services.terminal.pty_manager | reader               | L237  | Read 1 bytes from PTY (read #4)
2025-06-10 00:48:43.662 | INFO     | concierge.core.services.terminal.pty_manager | reader               | L237  | Read 1 bytes from PTY (read #5)
2025-06-10 00:48:46.045 | INFO     | concierge.core.services.terminal.pty_manager | reader               | L237  | Read 3 bytes from PTY (read #6)
2025-06-10 00:48:46.213 | INFO     | concierge.core.services.terminal.pty_manager | reader               | L237  | Read 3 bytes from PTY (read #7)
2025-06-10 00:48:46.354 | INFO     | concierge.core.services.terminal.pty_manager | reader               | L237  | Read 3 bytes from PTY (read #8)
2025-06-10 00:48:46.499 | INFO     | concierge.core.services.terminal.pty_manager | reader               | L237  | Read 3 bytes from PTY (read #9)
2025-06-10 00:48:47.649 | INFO     | concierge.core.services.terminal.pty_manager | reader               | L237  | Read 1 bytes from PTY (read #10)
2025-06-10 00:48:48.728 | INFO     | concierge.core.services.terminal.pty_manager | reader               | L237  | Read 1 bytes from PTY (read #11)
2025-06-10 00:48:49.806 | INFO     | concierge.core.services.terminal.pty_manager | reader               | L237  | Read 2 bytes from PTY (read #12)
2025-06-10 00:48:49.817 | INFO     | concierge.core.services.terminal.pty_manager | reader               | L237  | Read 1475 bytes from PTY (read #13)
2025-06-10 00:48:58.982 | INFO     | concierge.core.services.terminal.pty_manager | reader               | L237  | Read 1 bytes from PTY (read #14)
2025-06-10 00:48:59.843 | INFO     | concierge.core.services.terminal.pty_manager | reader               | L237  | Read 3 bytes from PTY (read #15)
2025-06-10 00:49:02.190 | INFO     | concierge.core.services.terminal.pty_manager | reader               | L237  | Read 1 bytes from PTY (read #16)
2025-06-10 00:49:02.362 | INFO     | concierge.core.services.terminal.pty_manager | reader               | L237  | Read 1 bytes from PTY (read #17)
2025-06-10 00:49:02.494 | INFO     | concierge.core.services.terminal.pty_manager | reader               | L237  | Read 1 bytes from PTY (read #18)
2025-06-10 00:49:02.644 | INFO     | concierge.core.services.terminal.pty_manager | reader               | L237  | Read 1 bytes from PTY (read #19)
2025-06-10 00:49:03.152 | INFO     | concierge.core.services.terminal.pty_manager | reader               | L237  | Read 4 bytes from PTY (read #20)
2025-06-10 00:49:03.863 | INFO     | concierge.core.services.terminal.pty_manager | reader               | L237  | Read 1 bytes from PTY (read #21)
2025-06-10 00:49:03.988 | INFO     | concierge.core.services.terminal.pty_manager | reader               | L237  | Read 1 bytes from PTY (read #22)
2025-06-10 00:49:04.067 | INFO     | concierge.core.services.terminal.pty_manager | reader               | L237  | Read 2 bytes from PTY (read #23)
2025-06-10 00:49:04.079 | INFO     | concierge.core.services.terminal.pty_manager | reader               | L237  | Read 217 bytes from PTY (read #24)
2025-06-10 00:49:05.451 | INFO     | concierge.core.services.terminal.pty_manager | reader               | L237  | Read 1 bytes from PTY (read #25)
2025-06-10 00:49:05.539 | INFO     | concierge.core.services.terminal.pty_manager | reader               | L237  | Read 1 bytes from PTY (read #26)
2025-06-10 00:49:05.592 | INFO     | concierge.core.services.terminal.pty_manager | reader               | L237  | Read 1 bytes from PTY (read #27)
2025-06-10 00:49:06.125 | INFO     | concierge.core.services.terminal.pty_manager | reader               | L237  | Read 3 bytes from PTY (read #28)
2025-06-10 00:49:06.285 | INFO     | concierge.core.services.terminal.pty_manager | reader               | L237  | Read 3 bytes from PTY (read #29)
2025-06-10 00:49:06.428 | INFO     | concierge.core.services.terminal.pty_manager | reader               | L237  | Read 3 bytes from PTY (read #30)
2025-06-10 00:49:29.767 | INFO     | concierge.core.services.terminal.pty_manager | reader               | L237  | Read 1 bytes from PTY (read #31)
2025-06-10 00:49:30.889 | INFO     | concierge.core.services.terminal.pty_manager | reader               | L237  | Read 1 bytes from PTY (read #32)
2025-06-10 00:49:31.051 | INFO     | concierge.core.services.terminal.pty_manager | reader               | L237  | Read 2 bytes from PTY (read #33)
2025-06-10 00:49:31.062 | INFO     | concierge.core.services.terminal.pty_manager | reader               | L237  | Read 217 bytes from PTY (read #34)
2025-06-10 00:49:32.372 | INFO     | concierge.core.services.terminal.pty_manager | reader               | L237  | Read 1 bytes from PTY (read #35)
2025-06-10 00:49:32.526 | INFO     | concierge.core.services.terminal.pty_manager | reader               | L237  | Read 1 bytes from PTY (read #36)
2025-06-10 00:49:32.620 | INFO     | concierge.core.services.terminal.pty_manager | reader               | L237  | Read 1 bytes from PTY (read #37)
2025-06-10 00:49:32.814 | INFO     | concierge.core.services.terminal.pty_manager | reader               | L237  | Read 1 bytes from PTY (read #38)
2025-06-10 00:49:36.544 | INFO     | concierge.core.services.terminal.pty_manager | reader               | L237  | Read 1 bytes from PTY (read #39)
2025-06-10 00:49:36.622 | INFO     | concierge.core.services.terminal.pty_manager | reader               | L237  | Read 1 bytes from PTY (read #40)
2025-06-10 00:49:36.861 | INFO     | concierge.core.services.terminal.pty_manager | reader               | L237  | Read 1 bytes from PTY (read #41)
2025-06-10 00:49:36.934 | INFO     | concierge.core.services.terminal.pty_manager | reader               | L237  | Read 1 bytes from PTY (read #42)
2025-06-10 00:49:37.313 | INFO     | concierge.core.services.terminal.pty_manager | reader               | L237  | Read 1 bytes from PTY (read #43)
2025-06-10 00:49:37.692 | INFO     | concierge.core.services.terminal.pty_manager | reader               | L237  | Read 1 bytes from PTY (read #44)
2025-06-10 00:49:37.819 | INFO     | concierge.core.services.terminal.pty_manager | reader               | L237  | Read 1 bytes from PTY (read #45)
2025-06-10 00:49:38.172 | INFO     | concierge.core.services.terminal.pty_manager | reader               | L237  | Read 1 bytes from PTY (read #46)
2025-06-10 00:49:38.564 | INFO     | concierge.core.services.terminal.pty_manager | reader               | L237  | Read 1 bytes from PTY (read #47)
2025-06-10 00:49:38.776 | INFO     | concierge.core.services.terminal.pty_manager | reader               | L237  | Read 1 bytes from PTY (read #48)
2025-06-10 00:49:38.855 | INFO     | concierge.core.services.terminal.pty_manager | reader               | L237  | Read 1 bytes from PTY (read #49)
2025-06-10 00:49:39.061 | INFO     | concierge.core.services.terminal.pty_manager | reader               | L237  | Read 1 bytes from PTY (read #50)
2025-06-10 00:49:39.237 | INFO     | concierge.core.services.terminal.pty_manager | reader               | L237  | Read 1 bytes from PTY (read #51)
2025-06-10 00:49:39.370 | INFO     | concierge.core.services.terminal.pty_manager | reader               | L237  | Read 1 bytes from PTY (read #52)
2025-06-10 00:49:39.496 | INFO     | concierge.core.services.terminal.pty_manager | reader               | L237  | Read 4 bytes from PTY (read #53)
2025-06-10 00:49:40.248 | INFO     | concierge.core.services.terminal.pty_manager | reader               | L237  | Read 1 bytes from PTY (read #54)
2025-06-10 00:49:40.319 | INFO     | concierge.core.services.terminal.pty_manager | reader               | L237  | Read 1 bytes from PTY (read #55)
2025-06-10 00:49:40.442 | INFO     | concierge.core.services.terminal.pty_manager | reader               | L237  | Read 1477 bytes from PTY (read #56)
2025-06-10 00:53:39.610 | INFO     | concierge.core.services.terminal.pty_manager | create_pty           | L46   | === CREATE PTY ===
2025-06-10 00:53:39.610 | DEBUG    | concierge.core.services.terminal.pty_manager | create_pty           | L47   | Session ID: terminal-main-session
2025-06-10 00:53:39.611 | DEBUG    | concierge.core.services.terminal.pty_manager | create_pty           | L48   | Shell: /bin/sh, Rows: 42, Cols: 194
2025-06-10 00:53:39.611 | DEBUG    | concierge.core.services.terminal.pty_manager | create_pty           | L49   | CWD: None
2025-06-10 00:53:39.611 | DEBUG    | concierge.core.services.terminal.pty_manager | create_pty           | L52   | Validating session ID...
2025-06-10 00:53:39.613 | INFO     | concierge.core.services.terminal.pty_manager | create_pty           | L144  | Created PTY process 21879 for session terminal-main-session
2025-06-10 00:53:39.615 | INFO     | concierge.core.services.terminal.pty_manager | read_from_pty        | L204  | Starting PTY reader for session terminal-main-session
2025-06-10 00:53:39.615 | DEBUG    | concierge.core.services.terminal.pty_manager | read_from_pty        | L210  | PTY process found: PID=21879, FD=31
2025-06-10 00:53:39.615 | DEBUG    | concierge.core.services.terminal.pty_manager | read_from_pty        | L263  | Creating reader task for session terminal-main-session
2025-06-10 00:53:39.616 | DEBUG    | concierge.core.services.terminal.pty_manager | read_from_pty        | L266  | Reader task created: <Task pending name='Task-46' coro=<PTYManager.read_from_pty.<locals>.reader() running at /data/openpilot/openpilot/selfdrive/chauffeur/concierge/core/services/terminal/pty_manager.py:213>>
2025-06-10 00:53:39.617 | DEBUG    | concierge.core.services.terminal.pty_manager | reader               | L214  | Reader task started for session terminal-main-session
2025-06-10 00:53:39.618 | INFO     | concierge.core.services.terminal.pty_manager | reader               | L237  | Read 2 bytes from PTY (read #1)
2025-06-10 00:53:39.751 | INFO     | concierge.core.services.terminal.pty_manager | terminate_pty        | L308  | Terminated PTY process for session terminal-main-session
2025-06-10 00:53:39.851 | INFO     | concierge.core.services.terminal.pty_manager | reader               | L260  | PTY reader for session terminal-main-session stopped (read 1 times)
2025-06-10 01:18:48.674 | INFO     | concierge.core.services.terminal.pty_manager | create_pty           | L46   | === CREATE PTY ===
2025-06-10 01:18:48.674 | DEBUG    | concierge.core.services.terminal.pty_manager | create_pty           | L47   | Session ID: terminal-main-session
2025-06-10 01:18:48.674 | DEBUG    | concierge.core.services.terminal.pty_manager | create_pty           | L48   | Shell: /bin/sh, Rows: 42, Cols: 194
2025-06-10 01:18:48.674 | DEBUG    | concierge.core.services.terminal.pty_manager | create_pty           | L49   | CWD: None
2025-06-10 01:18:48.675 | DEBUG    | concierge.core.services.terminal.pty_manager | create_pty           | L52   | Validating session ID...
2025-06-10 01:18:48.680 | INFO     | concierge.core.services.terminal.pty_manager | create_pty           | L144  | Created PTY process 22874 for session terminal-main-session
2025-06-10 01:18:48.683 | INFO     | concierge.core.services.terminal.pty_manager | read_from_pty        | L204  | Starting PTY reader for session terminal-main-session
2025-06-10 01:18:48.684 | DEBUG    | concierge.core.services.terminal.pty_manager | read_from_pty        | L210  | PTY process found: PID=22874, FD=29
