2025-06-10 10:52:52.519 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L185  | Session ID valid: terminal-main-session
2025-06-10 10:53:48.054 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L173  | Validating session ID: terminal-main-session
2025-06-10 10:53:48.054 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L185  | Session ID valid: terminal-main-session
2025-06-10 10:53:48.056 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L173  | Validating session ID: terminal-main-session
2025-06-10 10:53:48.056 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L185  | Session ID valid: terminal-main-session
2025-06-10 18:05:50.891 | DEBUG    | concierge.core.security.terminal_security | setup_logging        | L76   | Logger initialized for module: core.security.terminal_security
2025-06-10 18:05:50.929 | DEBUG    | concierge.core.security.terminal_security | setup_logging        | L77   | Log file: /data/openpilot/openpilot/selfdrive/chauffeur/concierge/logs/concierge_core_security_terminal_security_20250610.log
2025-06-10 18:05:50.930 | DEBUG    | concierge.core.security.terminal_security | setup_logging        | L78   | Debug mode: True
2025-06-10 18:05:51.227 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L173  | Validating session ID: terminal-main-session
2025-06-10 18:05:51.240 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L185  | Session ID valid: terminal-main-session
2025-06-10 18:05:51.246 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L173  | Validating session ID: terminal-main-session
2025-06-10 18:05:51.247 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L185  | Session ID valid: terminal-main-session
2025-06-10 18:06:07.489 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L173  | Validating session ID: terminal-main-session
2025-06-10 18:06:07.489 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L185  | Session ID valid: terminal-main-session
2025-06-10 18:06:07.493 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L173  | Validating session ID: terminal-main-session
2025-06-10 18:06:07.493 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L185  | Session ID valid: terminal-main-session
2025-06-10 18:07:46.765 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L173  | Validating session ID: terminal-main-session
2025-06-10 18:07:46.766 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L185  | Session ID valid: terminal-main-session
2025-06-10 18:07:46.771 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L173  | Validating session ID: terminal-main-session
2025-06-10 18:07:46.771 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L185  | Session ID valid: terminal-main-session
2025-06-10 18:16:14.560 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L173  | Validating session ID: terminal-main-session
2025-06-10 18:16:14.563 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L185  | Session ID valid: terminal-main-session
2025-06-10 18:16:14.576 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L173  | Validating session ID: terminal-main-session
2025-06-10 18:16:14.576 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L185  | Session ID valid: terminal-main-session
2025-06-10 18:16:33.340 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L173  | Validating session ID: terminal-main-session
2025-06-10 18:16:33.341 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L185  | Session ID valid: terminal-main-session
2025-06-10 18:16:33.344 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L173  | Validating session ID: terminal-main-session
2025-06-10 18:16:33.344 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L185  | Session ID valid: terminal-main-session
2025-06-10 18:26:43.616 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L173  | Validating session ID: terminal-main-session
2025-06-10 18:26:43.618 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L185  | Session ID valid: terminal-main-session
2025-06-10 18:26:43.631 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L173  | Validating session ID: terminal-main-session
2025-06-10 18:26:43.631 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L185  | Session ID valid: terminal-main-session
2025-06-10 18:27:02.803 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L173  | Validating session ID: terminal-main-session
2025-06-10 18:27:02.804 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L185  | Session ID valid: terminal-main-session
2025-06-10 18:27:02.807 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L173  | Validating session ID: terminal-main-session
2025-06-10 18:27:02.808 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L185  | Session ID valid: terminal-main-session
2025-06-10 18:27:12.090 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L173  | Validating session ID: terminal-main-session
2025-06-10 18:27:12.090 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L185  | Session ID valid: terminal-main-session
2025-06-10 18:27:12.091 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L173  | Validating session ID: terminal-main-session
2025-06-10 18:27:12.093 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L185  | Session ID valid: terminal-main-session
2025-06-10 18:27:23.382 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L173  | Validating session ID: terminal-main-session
2025-06-10 18:27:23.383 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L185  | Session ID valid: terminal-main-session
2025-06-10 18:27:23.386 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L173  | Validating session ID: terminal-main-session
2025-06-10 18:27:23.387 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L185  | Session ID valid: terminal-main-session
2025-06-10 18:28:04.495 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L173  | Validating session ID: terminal-main-session
2025-06-10 18:28:04.497 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L185  | Session ID valid: terminal-main-session
